CBS	Naam	Prov	ART.12	Beschermd wonen	Participatie	aanpak laaggeletterdheid	armoedebestrijding kinderen	beeldende kunst en vormgeving	begeleiding jongeren naar werk	behoud sociale voorzieningen Groningen	bodembescherming	BRP: Centralisering Inschrijving Vergunninghouders	dakloze EU burgers	einde lening inburgeringsplichtig	Ex Ante Impact Analyse NPLV	experiment gesloten coffeeshopketen	extra capaciteit BOA's	faciliteitenbesluit opvangcentra	gemeentelijke antidiscriminatie voorzieningen	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke begeleiding	maatschappelijke opvang	Nationaal Actieplan Dakloosheid	outreachend werken	personen met verward gedrag	regionale doelgroepen specifieke aanpak	Regionale Energie Strategieën	slavernijverleden	social labs	Uitstapprogramma prostituees	uitvoeringskosten Lbv en Lbv-plus	uitvoeringskosten Omgevingswet	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	weerbare gemeenschappen tegen ondermijnende criminaliteit	Wet kwaliteitsborging bouw
1859	Berkelland	5	0	0	6376408	0	132233	0	0	0	0	0	0	2028	0	0	36497	31881	6179	0	2719	0	0	2370	0	0	0	0	0	0	0	0	0	0	274690	7062	0	0	173168	0	0	7000	74353	0	0	31047
209	Beuningen	5	0	0	3096129	0	73027	0	0	0	0	0	0	1159	0	0	33208	0	3730	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	0	118164	7062	0	0	129876	0	0	7000	41275	0	0	14505
1876	Bronckhorst	5	0	0	4561998	0	93116	0	0	0	0	0	0	2318	0	0	35054	0	5092	0	8532	0	0	0	0	0	0	0	0	0	0	0	0	13028	269579	7062	0	0	128903	0	0	8000	61412	0	0	26593
213	Brummen	5	0	0	2236917	0	63949	0	0	0	0	0	0	724	0	0	32227	0	2962	0	0	0	0	2370	0	0	0	0	0	297737	0	0	0	0	126704	7062	0	0	37941	0	0	4000	31328	0	0	13854
214	Buren	5	0	0	2121439	0	88591	0	0	0	0	0	0	1014	0	0	33366	0	3891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	169203	7062	0	0	158576	0	0	3000	51941	0	0	16999
216	Culemborg	5	0	0	3878293	0	105928	0	0	0	0	0	0	1014	0	0	33759	0	4173	0	10402	0	0	2370	0	0	0	0	0	281176	0	0	0	0	118573	7062	0	0	68586	0	0	3000	45039	0	0	15848
221	Doesburg	5	0	0	1583046	0	55608	0	0	0	0	0	0	724	0	0	30401	0	1555	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	0	64237	7062	0	0	20430	0	0	1000	16301	0	0	7938
222	Doetinchem	5	0	30110629	9115118	145493	277086	0	262211	0	0	0	0	2608	0	0	39180	0	8309	0	30900	0	0	9480	3913503	558989	0	0	136659	303978	0	0	0	31640	216045	7062	0	0	143983	0	400077	8000	92958	0	0	29616
225	Druten	5	0	0	2327007	0	56290	0	0	0	0	0	0	1304	0	0	31875	0	2738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98222	7062	0	0	152738	0	0	3000	29545	0	0	11922
226	Duiven	5	0	0	2084659	0	89027	0	0	0	0	0	0	1739	0	0	33005	0	3500	0	37665	0	0	0	0	0	0	0	0	0	0	0	0	13028	109498	7062	0	0	63236	0	0	9000	39200	0	0	14866
228	Ede	5	0	25531703	9413407	151666	410709	150000	267579	0	0	0	0	6375	0	0	50387	0	17126	58600	11116	0	20000	2370	3631978	518777	0	0	136659	0	0	0	0	230783	494599	7062	0	0	314719	0	400077	19000	207757	3063752	0	61977
230	Elburg	5	0	0	3703140	0	86193	0	0	0	0	0	0	1014	0	0	32700	0	3374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123238	7062	0	0	27240	0	0	5000	40531	0	0	12895
232	Epe	5	0	0	4375831	0	110671	0	0	0	0	0	0	1159	0	0	34517	0	4672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19542	194601	7062	0	0	72964	0	0	3000	54831	0	0	20088
233	Ermelo	5	0	0	3973403	0	73463	0	0	0	0	0	0	1014	0	0	33367	0	3859	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	32570	143174	7062	0	0	53994	0	0	7000	45026	0	0	17102
243	Harderwijk	5	0	0	5497954	0	201716	0	0	0	0	0	0	3332	0	0	37405	0	6864	0	61392	0	0	4740	0	0	0	0	0	0	0	0	0	50251	169923	7062	0	0	175114	0	0	11000	77340	0	0	23582
244	Hattem	5	0	0	861637	0	31184	0	0	0	0	0	0	580	0	0	30617	0	1763	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	6514	73930	7062	0	0	43779	0	0	4000	19272	0	0	8367
246	Heerde	5	0	0	2575784	0	45795	0	0	0	0	0	0	1014	0	0	31835	0	2697	0	0	0	0	4740	0	0	0	0	0	0	0	0	0	0	119451	7062	0	0	56912	0	0	3000	31826	0	0	11880
252	Heumen	5	0	0	1272134	0	45849	0	0	0	0	0	0	869	0	0	31424	0	2361	0	12204	0	0	0	0	0	0	0	0	0	0	0	0	0	93033	7062	0	0	90476	0	0	4000	25784	0	0	10705
1705	Lingewaard	5	0	0	4048715	0	131470	0	0	0	0	0	0	2753	0	0	37051	0	6628	0	0	0	0	11850	0	0	0	0	0	0	0	0	0	31640	177992	7062	0	0	160035	0	0	8000	68478	0	0	21867
262	Lochem	5	0	0	3011690	0	105928	0	0	0	0	0	0	1594	0	0	34657	0	4816	0	15671	0	0	2370	0	0	0	0	0	0	0	0	0	0	227313	7062	0	0	123066	0	0	10000	59446	0	0	24046
263	Maasdriel	5	0	0	1676704	0	71473	0	0	0	0	0	0	1594	0	0	33076	0	3652	0	0	0	0	2370	0	0	0	0	0	0	0	0	0	6514	129081	7062	0	0	62749	0	0	5000	44292	0	0	16198
1955	Montferland	5	0	0	4953995	0	128662	0	0	0	0	0	0	2028	0	0	35044	0	5177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13028	176462	7062	0	0	22376	0	0	8000	51717	0	0	21447
