CBS	Naam 	Prov	Beschermd wonen	Participatie	Voogdij/18+	CBS	aanpak laaggeletterdheid	armoedebestrijding kinderen	beeldende kunst en vormgeving	begeleiding jongeren naar werk	BRP: Centralisering Inschrijving Vergunninghouders	experiment gesloten coffeeshopketen	extra capaciteit BOA's	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke opvang	personen met verward gedrag	Regionale Energie Strategieën	slavernijverleden	Uitstapprogramma prostituees	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	Wet kwaliteitsborging bouw
246	Heerde	5	0	2265267	0	246	0	45795	0	0	0	0	31835	0	0	0	0	0	0	0	0	0	7062	0	0	56912	0	0	3000	32012	0	11880
252	Heumen	5	0	1207026	0	252	0	45849	0	0	0	0	31424	0	0	0	0	0	0	0	0	0	7062	0	0	90476	0	0	4000	27166	0	10705
1705	Lingewaard	5	0	3716868	0	1705	0	131470	0	0	0	0	37051	0	0	0	0	0	0	0	0	0	7062	0	0	160035	0	0	8000	68369	0	21867
262	Lochem	5	0	2683036	0	262	0	105928	0	0	0	0	34657	0	0	0	0	0	0	0	0	0	7062	0	0	123066	0	0	10000	59971	0	24046
263	Maasdriel	5	0	1543830	0	263	0	71473	0	0	0	0	33076	0	0	0	0	0	0	0	0	0	7062	0	0	62749	0	0	5000	44275	0	16198
1955	Montferland	5	0	4332947	0	1955	0	128662	0	0	0	0	35044	0	0	0	0	0	0	0	0	0	7062	0	0	22376	0	0	8000	51446	0	21447
1740	Neder-Betuwe	5	0	1207324	0	1740	0	91672	0	0	0	0	32927	0	0	0	0	0	0	0	0	0	7062	0	0	119661	0	0	5000	51085	0	14181
267	Nijkerk	5	0	1892210	0	267	0	128117	0	0	0	0	36452	0	0	0	0	0	0	330169	0	0	7062	0	0	142523	0	0	12000	74098	0	22012
268	Nijmegen	5	57819032	22859126	0	268	167233	1018746	150000	288625	0	196250	61327	605273	76213	0	20000	10431739	284028	510387	0	178595	7062	0	218680	410545	1602,97	400077	34000	306752	5973621	87254
302	Nunspeet	5	0	3579477	0	302	0	88319	0	0	0	0	33554	0	10734	0	0	0	0	0	0	0	7062	0	0	74423	0	0	6000	53759	0	15699
269	Oldebroek	5	0	2028430	0	269	0	69456	0	0	0	0	32762	0	0	0	0	0	0	256127	0	0	7062	0	0	32104	0	0	7000	44334	0	14027
