CBS	Naam	Prov	Beschermd wonen	Participatie	Voogdij/18+	aanpak laaggeletterdheid	armoedebestrijding kinderen	beeldende kunst en vormgeving	BRP: Centralisering Inschrijving Vergunninghouders	experiment gesloten coffeeshopketen	extra capaciteit BOA's	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	maatschappelijke opvang	personen met verward gedrag	slavernijverleden	Uitstapprogramma prostituees	veiligheidshuizen	vergunningverlening, toezicht en handhaving	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	Wet kwaliteitsborging bouw
363	Amsterdam	7	116748246	71487432	0	469047	6750659	2605874	0	0	194565	4209153	201955	54983	67715137	879088	958000	470264	676830	416382	398593	235000	1668307	24661902	696376
373	Bergen (NH.)	7	0	1235143	0	0	79160	0	0	0	33869	0	0	44793	0	0	0	0	0	39887	0	6000	35811	0	18447
375	Beverwijk	7	0	4763421	0	0	218998	0	0	0	36129	0	0	0	0	0	0	0	0	70532	0	13000	66667	0	25575
376	Blaricum	7	0	184201	0	0	40888	0	0	0	30566	0	0	0	0	0	0	0	0	0	0	0	21638	0	7968
377	Bloemendaal	7	0	817536	0	0	54218	0	0	0	32709	0	0	0	0	0	0	0	0	10215	0	1000	38885	0	12224
383	Castricum	7	0	800903	0	0	73272	0	0	0	35054	0	0	20837	0	0	0	0	0	66154	0	4000	51021	0	17817
400	Den Helder	7	7896358	6817388	0	0	342235	0	0	0	38866	0	141649	43710	1763025	0	0	0	0	185815	0	8000	91296	1724676	31546
384	Diemen	7	0	1766396	0	0	127899	0	0	0	34170	0	0	0	0	0	0	0	0	49129	0	9000	41596	0	19993
1980	Dijk en Waard	7	0	5639359	0	0	313859	0	0	0	44471	0	64401	0	0	0	0	0	0	267535	0	9000	136088	0	36780
498	Drechterland	7	0	1200934	0	0	60079	0	0	0	32032	0	0	51617	0	0	0	0	0	16052	0	2000	36866	0	12458
385	Edam-Volendam	7	0	1674062	0	0	92898	0	0	0	35088	0	0	51805	0	0	0	0	0	64695	0	4000	56935	0	17856
388	Enkhuizen	7	0	1655158	0	0	88973	0	0	0	31809	0	0	11396	0	0	0	0	0	83179	0	3000	27357	0	12054
1942	Gooise Meren	7	0	1599291	0	0	184270	0	0	0	39227	0	0	0	0	0	0	0	0	85611	0	11000	103180	0	28172
392	Haarlem	7	45103870	16226329	0	176903	781376	150000	0	0	58572	313817	0	0	7467243	285029	0	185999	219450	88043	398593	15000	259248	6902203	89712
394	Haarlemmermeer	7	0	5566034	0	0	563441	150000	190000	0	57688	0	28364	0	0	0	0	0	0	1134350	0	31000	259191	0	71688
396	Heemskerk	7	0	4166479	0	0	191848	0	0	0	35632	0	0	0	0	0	0	0	0	10215	0	8000	58615	0	20754
397	Heemstede	7	0	1259815	0	0	52828	0	0	0	33466	0	0	0	0	0	0	0	0	10215	0	2000	40806	0	15016
399	Heiloo	7	0	917787	0	0	55199	0	0	0	32833	0	0	0	0	0	0	0	0	10215	0	4000	33052	0	13080
