;Gemeenten;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal;index;0
148;Blaricum;2905632.029015851;1195069.5645016762;2528182.278441709;3228211.4075186993;4518925.305518695;1840405.5949877303;2530362.010696907;2852719.0813067304;3150528.77932389;0.0;-2183757.47672004;-4996677.364791525;17569592.962843925;;
149;Bloemendaal;5315747.113642781;2018647.5216267807;6053028.091953971;4607864.571052681;8730093.721472528;3127320.874354273;3342591.524939701;5441179.379097562;5814903.24211076;0.0;-4182533.7365042963;-9837067.579032237;30431764.2683847;;
150;Castricum;8470992.66679589;4193966.2036182648;9668930.908869063;9228215.33960905;13317036.210322177;4643013.792625068;4865497.573030604;9286035.496586023;9374491.890304115;0.0;-6354576.902086061;-9768357.828542877;56925220.03588382;;
151;Den Helder;16350515.8874325;16475461.369219974;21587283.544509213;30559079.985430893;21408965.984506346;9010728.554838892;9733037.108396305;18674500.15131343;17600947.13171378;0.0;-9885305.364030307;-13111855.611296913;138403264.6012788;;
152;Diemen;10142661.166833296;4727190.691159226;4981385.963739848;8505509.02653514;12305298.522857659;6952065.970533739;5009886.449334656;7942590.315777988;11973913.408918332;0.0;-5732144.826398812;-10419742.364716891;56388585.433784835;;
153;Dijk en Waard;25342093.515910115;14011836.852653548;23367266.96133644;33589384.805088975;32248142.46877816;12007200.299156345;14258359.864024838;31523603.702303737;22706051.301042363;0.0;-15558179.269956158;-21408935.82705144;172086744.1075448;;
154;Drechterland;4440619.5872625755;2164329.9643010157;4932872.629952572;7029413.664080069;7368995.61671839;2541249.075947906;2307889.477940115;4808200.979587532;7909668.463726839;0.0;-3564122.9919934026;-4601434.461137401;35337661.37871225;;
155;Edam-Volendam;8762880.519900467;3486383.960372673;9030281.297007898;10601510.310138002;13377166.81276997;4702593.035755674;4714233.527065347;10749902.976459365;14896779.542247653;0.0;-6427135.6967263995;-9325112.469662758;64569454.84961964;;
156;Enkhuizen;4787350.313201735;3669482.5167114297;5843663.415199928;9384451.366696836;6965585.527912869;2737860.9446769264;2985825.428479842;7161601.774978701;7880236.08043427;0.0;-3301862.286176998;-4647858.026423769;43466307.74623791;;
157;Gooise Meren;16102376.035980742;8225335.805169187;15029721.973538782;18407149.967157576;22201254.585355125;9202797.926357072;9157786.220409805;18848434.788934782;17188937.758088265;0.0;-10550048.832084602;-18509557.15113614;105304143.38898583;;
158;Haarlem;54945133.073026255;34343710.286708936;45050612.9109473;65289499.84078777;62138581.752261914;32054766.050729923;31389185.564140912;68025757.35486048;56683748.61293195;0.0;-28917914.464614704;-54757751.63381702;366245140.0851622;;
159;Haarlemmermeer;45290294.25069334;20963230.080528162;30582188.872341644;50178012.86923678;58598445.346809804;25843753.87416587;26436569.098506488;47066954.60765634;51035752.57367412;0.0;-28376608.370365523;-54354401.30049521;273264062.28715676;;
160;Heemskerk;10895155.269005636;7718143.154070171;12168107.217050266;14758340.382154392;14549922.222597796;6057184.946991;7364526.3631271245;11626911.301441047;10092543.895567946;0.0;-6894134.592969576;-9325267.669848021;79011387.23375754;;
161;Heemstede;6786831.527024035;2766008.670603506;7876629.282259701;6719857.66425169;10252596.193566883;3886495.2412658343;3736132.495309547;7121166.791438772;6729860.769821441;0.0;-4856718.5896038385;-9537908.925122391;41480933.70730947;;
