Gemeenten	Provincie	Gemeentegrootte	Stedelijkheid	Inwonertal
Dongen	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	27200
Dordrecht	Zuid-Holland	100000tot150000inwoners	Zeersterkstedelijk	121434
Drechterland	Noord-Holland	20000tot50000inwoners	Weinigstedelijk	20385
Drimmelen	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	27994
Dronten	Flevoland	20000tot50000inwoners	Weinigstedelijk	43593
Druten	Gelderland	10000tot20000inwoners	Weinigstedelijk	19505
Duiven	Gelderland	20000tot50000inwoners	Matigstedelijk	24937
Echt-Susteren	Limburg	20000tot50000inwoners	Weinigstedelijk	31967
Edam-Volendam	Noord-Holland	20000tot50000inwoners	Matigstedelijk	36760
Ede	Gelderland	100000tot150000inwoners	Sterkstedelijk	122012
Eemnes	Utrecht	5000tot10000inwoners	Weinigstedelijk	9598
Eemsdelta	Groningen	20000tot50000inwoners	Weinigstedelijk	45394
Eersel	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	20004
Eijsden-Margraten	Limburg	20000tot50000inwoners	Nietstedelijk	25991
Eindhoven	Noord-Brabant	150000tot250000inwoners	Zeersterkstedelijk	243730
Elburg	Gelderland	20000tot50000inwoners	Weinigstedelijk	24037
Emmen	Drenthe	100000tot150000inwoners	Weinigstedelijk	108765
Enkhuizen	Noord-Holland	10000tot20000inwoners	Matigstedelijk	18885
Enschede	Overijssel	150000tot250000inwoners	Sterkstedelijk	161235
