Gemeenten	Provincie	Grootteklasse	Stedelijkheid	Inwonertal
Ridderkerk	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	48011
Rijssen-Holten	Overijssel	20000tot50000inwoners	Matigstedelijk	38830
Rijswijk (ZH.)	Zuid-Holland	50000tot100000inwoners	Zeersterkstedelijk	60710
Roerdalen	Limburg	20000tot50000inwoners	Nietstedelijk	20830
Roermond	Limburg	50000tot100000inwoners	Sterkstedelijk	61227
De Ronde Venen	Utrecht	20000tot50000inwoners	Weinigstedelijk	45924
Roosendaal	Noord-Brabant	50000tot100000inwoners	Sterkstedelijk	77722
Rotterdam	Zuid-Holland	250000inwonersofmeer	Zeersterkstedelijk	672330
Rozendaal	Gelderland	Minderdan5000inwoners	Weinigstedelijk	1836
Rucphen	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	23992
Schagen	Noord-Holland	20000tot50000inwoners	Weinigstedelijk	48402
Scherpenzeel	Gelderland	10000tot20000inwoners	Weinigstedelijk	10541
Schiedam	Zuid-Holland	50000tot100000inwoners	Zeersterkstedelijk	82559
Schiermonnikoog	Fryslân	Minderdan5000inwoners	Nietstedelijk	968
Schouwen-Duiveland	Zeeland	20000tot50000inwoners	Nietstedelijk	34424
Simpelveld	Limburg	10000tot20000inwoners	Weinigstedelijk	10272
Sint-Michielsgestel	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	30169
Sittard-Geleen	Limburg	50000tot100000inwoners	Sterkstedelijk	92487
Sliedrecht	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	26601
Sluis	Zeeland	20000tot50000inwoners	Nietstedelijk	23098
Smallingerland	Fryslân	50000tot100000inwoners	Matigstedelijk	57095
Soest	Utrecht	20000tot50000inwoners	Matigstedelijk	48001
Someren	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	20214
Son en Breugel	Noord-Brabant	10000tot20000inwoners	Weinigstedelijk	18130
Stadskanaal	Groningen	20000tot50000inwoners	Weinigstedelijk	32045
Staphorst	Overijssel	10000tot20000inwoners	Nietstedelijk	17973
Stede Broec	Noord-Holland	20000tot50000inwoners	Matigstedelijk	22252
Steenbergen	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	24584
Steenwijkerland	Overijssel	20000tot50000inwoners	Weinigstedelijk	45706
Stein (L.)	Limburg	20000tot50000inwoners	Weinigstedelijk	24652
Stichtse Vecht	Utrecht	50000tot100000inwoners	Matigstedelijk	66124
Súdwest-Fryslân	Fryslân	50000tot100000inwoners	Weinigstedelijk	90532
Terneuzen	Zeeland	50000tot100000inwoners	Weinigstedelijk	55663
Terschelling	Fryslân	Minderdan5000inwoners	Nietstedelijk	4923
Texel	Noord-Holland	10000tot20000inwoners	Weinigstedelijk	13844
Teylingen	Zuid-Holland	20000tot50000inwoners	Matigstedelijk	38410
Tholen	Zeeland	20000tot50000inwoners	Weinigstedelijk	26944
Tiel	Gelderland	20000tot50000inwoners	Matigstedelijk	42590
Tilburg	Noord-Brabant	150000tot250000inwoners	Zeersterkstedelijk	230359
